transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
80804703|C816|A672|2025-12-15|net demand for forecast|000039_transit_20251216-C816-A672-Train-#1,2025-12-20,80804703,C816,A672,2025-12-16,2025-12-24,1,80804703|C816|A672|2025-12-15|net demand for forecast|000039,20251216-C816-A672-Train-#1
80804703|C816|A672|2025-12-15|net demand for forecast|000040_transit_20251216-C816-A672-Train-#1,2025-12-20,80804703,C816,A672,2025-12-16,2025-12-24,1,80804703|C816|A672|2025-12-15|net demand for forecast|000040,20251216-C816-A672-Train-#1
80804703|C816|A672|2025-12-15|net demand for forecast|000041_transit_20251216-C816-A672-Train-#1,2025-12-20,80804703,C816,A672,2025-12-16,2025-12-24,1,80804703|C816|A672|2025-12-15|net demand for forecast|000041,20251216-C816-A672-Train-#1
80804703|C816|A672|2025-12-15|net demand for forecast|000042_transit_20251216-C816-A672-Train-#1,2025-12-20,80804703,C816,A672,2025-12-16,2025-12-24,1,80804703|C816|A672|2025-12-15|net demand for forecast|000042,20251216-C816-A672-Train-#1
80804703|C816|A672|2025-12-15|net demand for forecast|000043_transit_20251216-C816-A672-Train-#1,2025-12-20,80804703,C816,A672,2025-12-16,2025-12-24,1,80804703|C816|A672|2025-12-15|net demand for forecast|000043,20251216-C816-A672-Train-#1
80804703|C816|A672|2025-12-15|net demand for forecast|000044_transit_20251216-C816-A672-Train-#1,2025-12-20,80804703,C816,A672,2025-12-16,2025-12-24,2,80804703|C816|A672|2025-12-15|net demand for forecast|000044,20251216-C816-A672-Train-#1
21414747|C816|A672|2025-12-16|net demand for forecast|000082_transit_20251216-C816-A672-Train-#1,2025-12-20,21414747,C816,A672,2025-12-16,2025-12-24,49,21414747|C816|A672|2025-12-16|net demand for forecast|000082,20251216-C816-A672-Train-#1
21414747|C816|A672|2025-12-16|net demand for forecast|000083_transit_20251216-C816-A672-Train-#1,2025-12-20,21414747,C816,A672,2025-12-16,2025-12-24,49,21414747|C816|A672|2025-12-16|net demand for forecast|000083,20251216-C816-A672-Train-#1
21419485|C816|A672|2025-12-16|net demand for forecast|000084_transit_20251216-C816-A672-Train-#1,2025-12-20,21419485,C816,A672,2025-12-16,2025-12-24,47,21419485|C816|A672|2025-12-16|net demand for forecast|000084,20251216-C816-A672-Train-#1
21419485|C816|A672|2025-12-16|net demand for forecast|000085_transit_20251216-C816-A672-Train-#1,2025-12-20,21419485,C816,A672,2025-12-16,2025-12-24,47,21419485|C816|A672|2025-12-16|net demand for forecast|000085,20251216-C816-A672-Train-#1
21419490|C816|A672|2025-12-16|net demand for forecast|000086_transit_20251216-C816-A672-Train-#1,2025-12-20,21419490,C816,A672,2025-12-16,2025-12-24,12,21419490|C816|A672|2025-12-16|net demand for forecast|000086,20251216-C816-A672-Train-#1
21419490|C816|A672|2025-12-16|net demand for forecast|000087_transit_20251216-C816-A672-Train-#1,2025-12-20,21419490,C816,A672,2025-12-16,2025-12-24,12,21419490|C816|A672|2025-12-16|net demand for forecast|000087,20251216-C816-A672-Train-#1
21428668|C816|A672|2025-12-16|net demand for forecast|000090_transit_20251216-C816-A672-Train-#1,2025-12-20,21428668,C816,A672,2025-12-16,2025-12-24,1,21428668|C816|A672|2025-12-16|net demand for forecast|000090,20251216-C816-A672-Train-#1
21428668|C816|A672|2025-12-16|net demand for forecast|000091_transit_20251216-C816-A672-Train-#1,2025-12-20,21428668,C816,A672,2025-12-16,2025-12-24,1,21428668|C816|A672|2025-12-16|net demand for forecast|000091,20251216-C816-A672-Train-#1
21442422|C816|A672|2025-12-16|net demand for forecast|000092_transit_20251216-C816-A672-Train-#1,2025-12-20,21442422,C816,A672,2025-12-16,2025-12-24,83,21442422|C816|A672|2025-12-16|net demand for forecast|000092,20251216-C816-A672-Train-#1
21442422|C816|A672|2025-12-16|net demand for forecast|000093_transit_20251216-C816-A672-Train-#1,2025-12-20,21442422,C816,A672,2025-12-16,2025-12-24,83,21442422|C816|A672|2025-12-16|net demand for forecast|000093,20251216-C816-A672-Train-#1
21442896|C816|A672|2025-12-16|net demand for forecast|000094_transit_20251216-C816-A672-Train-#1,2025-12-20,21442896,C816,A672,2025-12-16,2025-12-25,30,21442896|C816|A672|2025-12-16|net demand for forecast|000094,20251216-C816-A672-Train-#1
21442896|C816|A672|2025-12-16|net demand for forecast|000095_transit_20251216-C816-A672-Train-#1,2025-12-20,21442896,C816,A672,2025-12-16,2025-12-25,30,21442896|C816|A672|2025-12-16|net demand for forecast|000095,20251216-C816-A672-Train-#1
21442897|C816|A672|2025-12-16|net demand for forecast|000096_transit_20251216-C816-A672-Train-#1,2025-12-20,21442897,C816,A672,2025-12-16,2025-12-24,29,21442897|C816|A672|2025-12-16|net demand for forecast|000096,20251216-C816-A672-Train-#1
21442897|C816|A672|2025-12-16|net demand for forecast|000097_transit_20251216-C816-A672-Train-#1,2025-12-20,21442897,C816,A672,2025-12-16,2025-12-24,29,21442897|C816|A672|2025-12-16|net demand for forecast|000097,20251216-C816-A672-Train-#1
21447518|C816|A672|2025-12-16|net demand for forecast|000098_transit_20251216-C816-A672-Train-#1,2025-12-20,21447518,C816,A672,2025-12-16,2025-12-24,3,21447518|C816|A672|2025-12-16|net demand for forecast|000098,20251216-C816-A672-Train-#1
21447518|C816|A672|2025-12-16|net demand for forecast|000099_transit_20251216-C816-A672-Train-#1,2025-12-20,21447518,C816,A672,2025-12-16,2025-12-24,3,21447518|C816|A672|2025-12-16|net demand for forecast|000099,20251216-C816-A672-Train-#1
21291975|0386|A668|2025-12-19|net demand for normal|000261_transit_20251219-0386-A668-Train-#1,2025-12-20,21291975,0386,A668,2025-12-19,2025-12-24,24,21291975|0386|A668|2025-12-19|net demand for normal|000261,20251219-0386-A668-Train-#1
21301637|0386|A668|2025-12-19|net demand for normal|000346_transit_20251219-0386-A668-Train-#1,2025-12-20,21301637,0386,A668,2025-12-19,2025-12-25,52,21301637|0386|A668|2025-12-19|net demand for normal|000346,20251219-0386-A668-Train-#1
21357021|0386|A668|2025-12-19|net demand for normal|000487_transit_20251219-0386-A668-Train-#1,2025-12-20,21357021,0386,A668,2025-12-19,2025-12-24,17,21357021|0386|A668|2025-12-19|net demand for normal|000487,20251219-0386-A668-Train-#1
21376841|0386|A668|2025-12-19|net demand for normal|000586_transit_20251219-0386-A668-Train-#1,2025-12-20,21376841,0386,A668,2025-12-19,2025-12-24,60,21376841|0386|A668|2025-12-19|net demand for normal|000586,20251219-0386-A668-Train-#1
21416910|0386|A668|2025-12-19|net demand for normal|000672_transit_20251219-0386-A668-Train-#1,2025-12-20,21416910,0386,A668,2025-12-19,2025-12-24,55,21416910|0386|A668|2025-12-19|net demand for normal|000672,20251219-0386-A668-Train-#1
21143102|0386|A668|2025-12-19|net demand for forecast|000185_transit_20251219-0386-A668-Train-#1,2025-12-20,21143102,0386,A668,2025-12-19,2025-12-24,1,21143102|0386|A668|2025-12-19|net demand for forecast|000185,20251219-0386-A668-Train-#1
21143102|0386|A668|2025-12-19|net demand for forecast|000186_transit_20251219-0386-A668-Train-#1,2025-12-20,21143102,0386,A668,2025-12-19,2025-12-24,1,21143102|0386|A668|2025-12-19|net demand for forecast|000186,20251219-0386-A668-Train-#1
21143102|0386|A668|2025-12-19|net demand for forecast|000187_transit_20251219-0386-A668-Train-#1,2025-12-20,21143102,0386,A668,2025-12-19,2025-12-24,1,21143102|0386|A668|2025-12-19|net demand for forecast|000187,20251219-0386-A668-Train-#1
21143102|0386|A668|2025-12-19|net demand for forecast|000188_transit_20251219-0386-A668-Train-#1,2025-12-20,21143102,0386,A668,2025-12-19,2025-12-24,1,21143102|0386|A668|2025-12-19|net demand for forecast|000188,20251219-0386-A668-Train-#1
21143102|0386|A668|2025-12-19|net demand for forecast|000189_transit_20251219-0386-A668-Train-#1,2025-12-20,21143102,0386,A668,2025-12-19,2025-12-24,1,21143102|0386|A668|2025-12-19|net demand for forecast|000189,20251219-0386-A668-Train-#1
21143102|0386|A668|2025-12-19|net demand for forecast|000190_transit_20251219-0386-A668-Train-#1,2025-12-20,21143102,0386,A668,2025-12-19,2025-12-24,1,21143102|0386|A668|2025-12-19|net demand for forecast|000190,20251219-0386-A668-Train-#1
21143102|0386|A668|2025-12-19|net demand for forecast|000191_transit_20251219-0386-A668-Train-#1,2025-12-20,21143102,0386,A668,2025-12-19,2025-12-25,1,21143102|0386|A668|2025-12-19|net demand for forecast|000191,20251219-0386-A668-Train-#1
21143102|0386|A668|2025-12-19|net demand for forecast|000192_transit_20251219-0386-A668-Train-#1,2025-12-20,21143102,0386,A668,2025-12-19,2025-12-24,1,21143102|0386|A668|2025-12-19|net demand for forecast|000192,20251219-0386-A668-Train-#1
21143102|0386|A668|2025-12-19|net demand for forecast|000193_transit_20251219-0386-A668-Train-#1,2025-12-20,21143102,0386,A668,2025-12-19,2025-12-24,1,21143102|0386|A668|2025-12-19|net demand for forecast|000193,20251219-0386-A668-Train-#1
21143102|0386|A668|2025-12-19|net demand for forecast|000194_transit_20251219-0386-A668-Train-#1,2025-12-20,21143102,0386,A668,2025-12-19,2025-12-24,1,21143102|0386|A668|2025-12-19|net demand for forecast|000194,20251219-0386-A668-Train-#1
21291975|0386|A668|2025-12-19|net demand for forecast|000251_transit_20251219-0386-A668-Train-#1,2025-12-20,21291975,0386,A668,2025-12-19,2025-12-24,10,21291975|0386|A668|2025-12-19|net demand for forecast|000251,20251219-0386-A668-Train-#1
21291975|0386|A668|2025-12-19|net demand for forecast|000252_transit_20251219-0386-A668-Train-#1,2025-12-20,21291975,0386,A668,2025-12-19,2025-12-24,21,21291975|0386|A668|2025-12-19|net demand for forecast|000252,20251219-0386-A668-Train-#1
21291975|0386|A668|2025-12-19|net demand for forecast|000253_transit_20251219-0386-A668-Train-#1,2025-12-20,21291975,0386,A668,2025-12-19,2025-12-24,21,21291975|0386|A668|2025-12-19|net demand for forecast|000253,20251219-0386-A668-Train-#1
21291975|0386|A668|2025-12-19|net demand for forecast|000254_transit_20251219-0386-A668-Train-#1,2025-12-20,21291975,0386,A668,2025-12-19,2025-12-24,21,21291975|0386|A668|2025-12-19|net demand for forecast|000254,20251219-0386-A668-Train-#1
21291975|0386|A668|2025-12-19|net demand for forecast|000255_transit_20251219-0386-A668-Train-#1,2025-12-20,21291975,0386,A668,2025-12-19,2025-12-24,21,21291975|0386|A668|2025-12-19|net demand for forecast|000255,20251219-0386-A668-Train-#1
21291975|0386|A668|2025-12-19|net demand for forecast|000256_transit_20251219-0386-A668-Train-#1,2025-12-20,21291975,0386,A668,2025-12-19,2025-12-24,21,21291975|0386|A668|2025-12-19|net demand for forecast|000256,20251219-0386-A668-Train-#1
21291975|0386|A668|2025-12-19|net demand for forecast|000257_transit_20251219-0386-A668-Train-#1,2025-12-20,21291975,0386,A668,2025-12-19,2025-12-24,22,21291975|0386|A668|2025-12-19|net demand for forecast|000257,20251219-0386-A668-Train-#1
21291975|0386|A668|2025-12-19|net demand for forecast|000258_transit_20251219-0386-A668-Train-#1,2025-12-20,21291975,0386,A668,2025-12-19,2025-12-24,22,21291975|0386|A668|2025-12-19|net demand for forecast|000258,20251219-0386-A668-Train-#1
21291975|0386|A668|2025-12-19|net demand for forecast|000259_transit_20251219-0386-A668-Train-#1,2025-12-20,21291975,0386,A668,2025-12-19,2025-12-24,24,21291975|0386|A668|2025-12-19|net demand for forecast|000259,20251219-0386-A668-Train-#1
21291975|0386|A668|2025-12-19|net demand for forecast|000260_transit_20251219-0386-A668-Train-#1,2025-12-20,21291975,0386,A668,2025-12-19,2025-12-24,24,21291975|0386|A668|2025-12-19|net demand for forecast|000260,20251219-0386-A668-Train-#1
21301637|0386|A668|2025-12-19|net demand for forecast|000336_transit_20251219-0386-A668-Train-#1,2025-12-20,21301637,0386,A668,2025-12-19,2025-12-24,13,21301637|0386|A668|2025-12-19|net demand for forecast|000336,20251219-0386-A668-Train-#1
21301637|0386|A668|2025-12-19|net demand for forecast|000337_transit_20251219-0386-A668-Train-#1,2025-12-20,21301637,0386,A668,2025-12-19,2025-12-24,27,21301637|0386|A668|2025-12-19|net demand for forecast|000337,20251219-0386-A668-Train-#1
21301637|0386|A668|2025-12-19|net demand for forecast|000338_transit_20251219-0386-A668-Train-#1,2025-12-20,21301637,0386,A668,2025-12-19,2025-12-24,27,21301637|0386|A668|2025-12-19|net demand for forecast|000338,20251219-0386-A668-Train-#1
21301637|0386|A668|2025-12-19|net demand for forecast|000339_transit_20251219-0386-A668-Train-#1,2025-12-20,21301637,0386,A668,2025-12-19,2025-12-24,27,21301637|0386|A668|2025-12-19|net demand for forecast|000339,20251219-0386-A668-Train-#1
21301637|0386|A668|2025-12-19|net demand for forecast|000340_transit_20251219-0386-A668-Train-#1,2025-12-20,21301637,0386,A668,2025-12-19,2025-12-24,27,21301637|0386|A668|2025-12-19|net demand for forecast|000340,20251219-0386-A668-Train-#1
21301637|0386|A668|2025-12-19|net demand for forecast|000341_transit_20251219-0386-A668-Train-#1,2025-12-20,21301637,0386,A668,2025-12-19,2025-12-24,27,21301637|0386|A668|2025-12-19|net demand for forecast|000341,20251219-0386-A668-Train-#1
21301637|0386|A668|2025-12-19|net demand for forecast|000342_transit_20251219-0386-A668-Train-#1,2025-12-20,21301637,0386,A668,2025-12-19,2025-12-24,28,21301637|0386|A668|2025-12-19|net demand for forecast|000342,20251219-0386-A668-Train-#1
21301637|0386|A668|2025-12-19|net demand for forecast|000343_transit_20251219-0386-A668-Train-#1,2025-12-20,21301637,0386,A668,2025-12-19,2025-12-24,28,21301637|0386|A668|2025-12-19|net demand for forecast|000343,20251219-0386-A668-Train-#1
21301637|0386|A668|2025-12-19|net demand for forecast|000344_transit_20251219-0386-A668-Train-#1,2025-12-20,21301637,0386,A668,2025-12-19,2025-12-25,31,21301637|0386|A668|2025-12-19|net demand for forecast|000344,20251219-0386-A668-Train-#1
21301637|0386|A668|2025-12-19|net demand for forecast|000345_transit_20251219-0386-A668-Train-#1,2025-12-20,21301637,0386,A668,2025-12-19,2025-12-25,31,21301637|0386|A668|2025-12-19|net demand for forecast|000345,20251219-0386-A668-Train-#1
21357021|0386|A668|2025-12-19|net demand for forecast|000477_transit_20251219-0386-A668-Train-#1,2025-12-20,21357021,0386,A668,2025-12-19,2025-12-24,8,21357021|0386|A668|2025-12-19|net demand for forecast|000477,20251219-0386-A668-Train-#1
21357021|0386|A668|2025-12-19|net demand for forecast|000478_transit_20251219-0386-A668-Train-#1,2025-12-20,21357021,0386,A668,2025-12-19,2025-12-24,18,21357021|0386|A668|2025-12-19|net demand for forecast|000478,20251219-0386-A668-Train-#1
21357021|0386|A668|2025-12-19|net demand for forecast|000479_transit_20251219-0386-A668-Train-#1,2025-12-20,21357021,0386,A668,2025-12-19,2025-12-24,18,21357021|0386|A668|2025-12-19|net demand for forecast|000479,20251219-0386-A668-Train-#1
21357021|0386|A668|2025-12-19|net demand for forecast|000480_transit_20251219-0386-A668-Train-#1,2025-12-20,21357021,0386,A668,2025-12-19,2025-12-24,18,21357021|0386|A668|2025-12-19|net demand for forecast|000480,20251219-0386-A668-Train-#1
21357021|0386|A668|2025-12-19|net demand for forecast|000481_transit_20251219-0386-A668-Train-#1,2025-12-20,21357021,0386,A668,2025-12-19,2025-12-24,18,21357021|0386|A668|2025-12-19|net demand for forecast|000481,20251219-0386-A668-Train-#1
21357021|0386|A668|2025-12-19|net demand for forecast|000482_transit_20251219-0386-A668-Train-#1,2025-12-20,21357021,0386,A668,2025-12-19,2025-12-24,19,21357021|0386|A668|2025-12-19|net demand for forecast|000482,20251219-0386-A668-Train-#1
21357021|0386|A668|2025-12-19|net demand for forecast|000483_transit_20251219-0386-A668-Train-#1,2025-12-20,21357021,0386,A668,2025-12-19,2025-12-24,19,21357021|0386|A668|2025-12-19|net demand for forecast|000483,20251219-0386-A668-Train-#1
21357021|0386|A668|2025-12-19|net demand for forecast|000484_transit_20251219-0386-A668-Train-#1,2025-12-20,21357021,0386,A668,2025-12-19,2025-12-24,19,21357021|0386|A668|2025-12-19|net demand for forecast|000484,20251219-0386-A668-Train-#1
21357021|0386|A668|2025-12-19|net demand for forecast|000485_transit_20251219-0386-A668-Train-#1,2025-12-20,21357021,0386,A668,2025-12-19,2025-12-25,19,21357021|0386|A668|2025-12-19|net demand for forecast|000485,20251219-0386-A668-Train-#1
21357021|0386|A668|2025-12-19|net demand for forecast|000486_transit_20251219-0386-A668-Train-#1,2025-12-20,21357021,0386,A668,2025-12-19,2025-12-24,19,21357021|0386|A668|2025-12-19|net demand for forecast|000486,20251219-0386-A668-Train-#1
21376841|0386|A668|2025-12-19|net demand for forecast|000576_transit_20251219-0386-A668-Train-#1,2025-12-20,21376841,0386,A668,2025-12-19,2025-12-24,12,21376841|0386|A668|2025-12-19|net demand for forecast|000576,20251219-0386-A668-Train-#1
21376841|0386|A668|2025-12-19|net demand for forecast|000577_transit_20251219-0386-A668-Train-#1,2025-12-20,21376841,0386,A668,2025-12-19,2025-12-24,28,21376841|0386|A668|2025-12-19|net demand for forecast|000577,20251219-0386-A668-Train-#1
21376841|0386|A668|2025-12-19|net demand for forecast|000578_transit_20251219-0386-A668-Train-#1,2025-12-20,21376841,0386,A668,2025-12-19,2025-12-24,28,21376841|0386|A668|2025-12-19|net demand for forecast|000578,20251219-0386-A668-Train-#1
21376841|0386|A668|2025-12-19|net demand for forecast|000579_transit_20251219-0386-A668-Train-#1,2025-12-20,21376841,0386,A668,2025-12-19,2025-12-24,28,21376841|0386|A668|2025-12-19|net demand for forecast|000579,20251219-0386-A668-Train-#1
21376841|0386|A668|2025-12-19|net demand for forecast|000580_transit_20251219-0386-A668-Train-#1,2025-12-20,21376841,0386,A668,2025-12-19,2025-12-24,28,21376841|0386|A668|2025-12-19|net demand for forecast|000580,20251219-0386-A668-Train-#1
21376841|0386|A668|2025-12-19|net demand for forecast|000581_transit_20251219-0386-A668-Train-#1,2025-12-20,21376841,0386,A668,2025-12-19,2025-12-25,28,21376841|0386|A668|2025-12-19|net demand for forecast|000581,20251219-0386-A668-Train-#1
21376841|0386|A668|2025-12-19|net demand for forecast|000582_transit_20251219-0386-A668-Train-#1,2025-12-20,21376841,0386,A668,2025-12-19,2025-12-24,29,21376841|0386|A668|2025-12-19|net demand for forecast|000582,20251219-0386-A668-Train-#1
21376841|0386|A668|2025-12-19|net demand for forecast|000583_transit_20251219-0386-A668-Train-#1,2025-12-20,21376841,0386,A668,2025-12-19,2025-12-25,29,21376841|0386|A668|2025-12-19|net demand for forecast|000583,20251219-0386-A668-Train-#1
21376841|0386|A668|2025-12-19|net demand for forecast|000584_transit_20251219-0386-A668-Train-#1,2025-12-20,21376841,0386,A668,2025-12-19,2025-12-24,29,21376841|0386|A668|2025-12-19|net demand for forecast|000584,20251219-0386-A668-Train-#1
21376841|0386|A668|2025-12-19|net demand for forecast|000585_transit_20251219-0386-A668-Train-#1,2025-12-20,21376841,0386,A668,2025-12-19,2025-12-24,29,21376841|0386|A668|2025-12-19|net demand for forecast|000585,20251219-0386-A668-Train-#1
21416910|0386|A668|2025-12-19|net demand for forecast|000662_transit_20251219-0386-A668-Train-#1,2025-12-20,21416910,0386,A668,2025-12-19,2025-12-25,15,21416910|0386|A668|2025-12-19|net demand for forecast|000662,20251219-0386-A668-Train-#1
21416910|0386|A668|2025-12-19|net demand for forecast|000663_transit_20251219-0386-A668-Train-#1,2025-12-20,21416910,0386,A668,2025-12-19,2025-12-24,15,21416910|0386|A668|2025-12-19|net demand for forecast|000663,20251219-0386-A668-Train-#1
21416910|0386|A668|2025-12-19|net demand for forecast|000664_transit_20251219-0386-A668-Train-#1,2025-12-20,21416910,0386,A668,2025-12-19,2025-12-24,15,21416910|0386|A668|2025-12-19|net demand for forecast|000664,20251219-0386-A668-Train-#1
21416910|0386|A668|2025-12-19|net demand for forecast|000665_transit_20251219-0386-A668-Train-#1,2025-12-20,21416910,0386,A668,2025-12-19,2025-12-24,32,21416910|0386|A668|2025-12-19|net demand for forecast|000665,20251219-0386-A668-Train-#1
21416910|0386|A668|2025-12-19|net demand for forecast|000666_transit_20251219-0386-A668-Train-#1,2025-12-20,21416910,0386,A668,2025-12-19,2025-12-24,32,21416910|0386|A668|2025-12-19|net demand for forecast|000666,20251219-0386-A668-Train-#1
21416910|0386|A668|2025-12-19|net demand for forecast|000667_transit_20251219-0386-A668-Train-#1,2025-12-20,21416910,0386,A668,2025-12-19,2025-12-24,32,21416910|0386|A668|2025-12-19|net demand for forecast|000667,20251219-0386-A668-Train-#1
21416910|0386|A668|2025-12-19|net demand for forecast|000668_transit_20251219-0386-A668-Train-#1,2025-12-20,21416910,0386,A668,2025-12-19,2025-12-24,32,21416910|0386|A668|2025-12-19|net demand for forecast|000668,20251219-0386-A668-Train-#1
21416910|0386|A668|2025-12-19|net demand for forecast|000669_transit_20251219-0386-A668-Train-#1,2025-12-20,21416910,0386,A668,2025-12-19,2025-12-24,32,21416910|0386|A668|2025-12-19|net demand for forecast|000669,20251219-0386-A668-Train-#1
21416910|0386|A668|2025-12-19|net demand for forecast|000670_transit_20251219-0386-A668-Train-#1,2025-12-20,21416910,0386,A668,2025-12-19,2025-12-24,32,21416910|0386|A668|2025-12-19|net demand for forecast|000670,20251219-0386-A668-Train-#1
21416910|0386|A668|2025-12-19|net demand for forecast|000671_transit_20251219-0386-A668-Train-#1,2025-12-20,21416910,0386,A668,2025-12-19,2025-12-24,32,21416910|0386|A668|2025-12-19|net demand for forecast|000671,20251219-0386-A668-Train-#1
21143102|0386|A668|2025-12-19|net demand for safety|000195_transit_20251219-0386-A668-Train-#1,2025-12-20,21143102,0386,A668,2025-12-19,2025-12-24,110,21143102|0386|A668|2025-12-19|net demand for safety|000195,20251219-0386-A668-Train-#1
21301637|0386|A668|2025-12-19|net demand for safety|000347_transit_20251219-0386-A668-Train-#1,2025-12-20,21301637,0386,A668,2025-12-19,2025-12-24,32,21301637|0386|A668|2025-12-19|net demand for safety|000347,20251219-0386-A668-Train-#1
21357021|0386|A668|2025-12-19|net demand for safety|000488_transit_20251219-0386-A668-Train-#1,2025-12-20,21357021,0386,A668,2025-12-19,2025-12-24,19,21357021|0386|A668|2025-12-19|net demand for safety|000488,20251219-0386-A668-Train-#1
21301637|0386|A668|2025-12-19|push replenishment|000348_transit_20251219-0386-A668-Train-#1,2025-12-20,21301637,0386,A668,2025-12-19,2025-12-24,12,21301637|0386|A668|2025-12-19|push replenishment|000348,20251219-0386-A668-Train-#1
21357021|0386|A668|2025-12-19|push replenishment|000489_transit_20251219-0386-A668-Train-#1,2025-12-20,21357021,0386,A668,2025-12-19,2025-12-25,54,21357021|0386|A668|2025-12-19|push replenishment|000489,20251219-0386-A668-Train-#1
21291975|0386|A672|2025-12-19|net demand for normal|000274_transit_20251219-0386-A672-Train-#1,2025-12-20,21291975,0386,A672,2025-12-19,2025-12-26,59,21291975|0386|A672|2025-12-19|net demand for normal|000274,20251219-0386-A672-Train-#1
21301637|0386|A672|2025-12-19|net demand for normal|000361_transit_20251219-0386-A672-Train-#1,2025-12-20,21301637,0386,A672,2025-12-19,2025-12-26,35,21301637|0386|A672|2025-12-19|net demand for normal|000361,20251219-0386-A672-Train-#1
21357021|0386|A672|2025-12-19|net demand for normal|000502_transit_20251219-0386-A672-Train-#1,2025-12-20,21357021,0386,A672,2025-12-19,2025-12-26,79,21357021|0386|A672|2025-12-19|net demand for normal|000502,20251219-0386-A672-Train-#1
